Swiss German	Icelandic	probability
ˈa	ˈɑu̯	0.104
ˈa	ˈaːi̯	0.096
ˈau̯	ˈœːy̯	1.0
ˈe	ˈɛ	0.639
ˈe	u	0.179
ˈe	ˈɛː	0.179
ˈei̯	ˈɛi̯	0.594
ˈei̯	ˈɛ	0.392
ˈeː	j_ˈoːu̯	0.53
ˈeː	ˈɑːu̯	0.284
ˈi	ˈɪ	0.355
ˈi	ˈi	0.18
ˈi	ˈɪː	0.166
ˈi	j	0.141
ˈi	ˈɛ	0.047
ˈiə̯	j_ˈoːu̯	0.538
ˈiə̯	ˈiː	0.194
ˈiə̯	j_ˈɛ	0.12
ˈiə̯	ˈɛː	0.077
ˈiː	ˈiː	1.0
ˈo	ˈɔ	0.272
ˈo	ˈʏ_t	0.141
ˈo	ˈʏː	0.141
ˈo	ˈʏ	0.123
ˈo	-	0.081
ˈou̯	ˈa	0.242
ˈou̯	ˈœː	0.242
ˈou̯	ˈœːy̯	0.149
ˈou̯	ˈɛːi̯	0.141
ˈou̯	r	0.087
ˈoː	ˈœːy̯	0.369
ˈoː	ˈɔ	0.224
ˈoː	ˈɔː	0.114
ˈoː	ˈɑːu̯	0.105
ˈoː	ˈɛːi̯	0.105
ˈu	ˈʏ	0.2
ˈu	ˈɔ	0.142
ˈu	ˈoːu̯	0.132
ˈu	ˈuː	0.132
ˈu	ˈu	0.104
ˈuə̯	ˈoːu̯	0.683
ˈuə̯	ˈɔu̯	0.173
ˈuə̯	ˈiː	0.116
ˈuː	ˈuː	0.738
ˈuː	ˈʏ_nː	0.118
ˈuː	ˈiː	0.096
ˈy	ˈai̯	0.24
ˈy	ˈuː	0.182
ˈy	-	0.122
ˈy	ˈi	0.117
ˈy	ˈʏ	0.112
ˈyə̯	ˈaːi̯	0.53
ˈyə̯	ˈai̯	0.177
ˈyə̯	ˈoːu̯	0.163
ˈyː	j	0.41
ˈyː	ˈiː	0.259
ˈyː	ˈʏː	0.191
ˈyː	ˈɪ	0.058
ˈyː	ˈi	0.056
ˈæ	j	0.304
ˈæ	j_ˈɛ	0.139
ˈæ	ˈɛ	0.107
ˈæ	ˈa	0.105
ˈæ	ˈɛː	0.082
ˈæi̯	ˈɛːi̯	0.326
ˈæi̯	ˈeːi̯	0.284
ˈæː	ˈiː	0.21
ˈæː	ˈa	0.122
ˈæː	ˈɛ	0.122
ˈæː	ˈɛː	0.122
ˈø	ˈɪ	0.341
ˈø	ˈʏ	0.199
ˈø	ˈou̯	0.183
ˈø	ˈɛ	0.062
ˈøi̯	ˈɔ	0.228
ˈøi̯	ˈeːi̯	0.199
ˈøi̯	ˈiː	0.107
ˈøi̯	ˈœː	0.067
ˈøː	ˈou̯	0.45
ˈøː	ˈœy̯	0.21
ˈøː	ˈɛːi̯	0.113
ˈɒ	ˈa	0.301
ˈɒ	ˈaː	0.218
ˈɒ	ˈœ	0.149
ˈɒ	ˈɑu̯	0.102
ˈɒ	ˈɔu̯	0.059
ˈɒː	ˈaː	0.364
ˈɒː	ˈɑːu̯	0.235
ˈɒː	ˈa	0.184
ˈɒː	ˈɔ	0.069
ˈɒː	ˈɔː	0.049
ˈɛi̯	ˈɛ	0.574
ˈɛi̯	ˈɛːi̯	0.268
χ	k	0.269
χ	kʰ	0.254
χ	-	0.132
χ	cʰ	0.088
χ	s	0.064
χ_t	ʰt	1.0
