Icelandic	American English	probability
ˈoːu̯	ˈu	0.185
ˈoːu̯	ˈʊ	0.165
ˈoːu̯	ˈi	0.073
ˈu	ˈʌ	0.195
ˈu	j	0.157
ˈu	ˈʊ	0.157
ˈu	w	0.148
ˈu	ˈɪ	0.106
ˈuː	ˈaʊ̯	0.645
ˈuː	ˈaɪ̯	0.206
ˈuː	ˈi	0.136
ˈœ	ɚ	0.291
ˈœ	ˈu	0.178
ˈœ	ˈeɪ̯	0.164
ˈœ	ˈæ	0.106
ˈœ	ˈɝ	0.065
ˈœy̯	ˈɛ	0.49
ˈœː	ˈu	0.415
ˈœː	ˈɛ	0.268
ˈœː	ə	0.076
ˈœːy̯	ˈi	0.503
ˈœːy̯	ˈɛ	0.343
ˈœːy̯	ˈaɪ̯	0.123
ˈɑu̯	ˈɑ	0.315
ˈɑu̯	ˈaɪ̯	0.192
ˈɑu̯	ˈæ	0.192
ˈɑu̯	ˈeɪ̯	0.117
ˈɑːu̯	ˈi	0.514
ˈɑːu̯	ˈu	0.136
ˈɑːu̯	ˈɛ	0.136
ˈɑːu̯	ˈoʊ̯	0.098
ˈɑːu̯	ˈaɪ̯	0.095
ˈɔ	ˈɔ	0.445
ˈɔ	ˈʌ	0.206
ˈɔ	w	0.17
ˈɔ	ˈɛ	0.092
ˈɔu̯	ˈaɪ̯	0.221
ˈɔu̯	ˈɪ	0.221
ˈɔu̯	ˈu	0.124
ˈɔu̯	ˈɑ	0.124
ˈɔː	l	0.371
ˈɔː	ˈʌ	0.182
ˈɛ	ˈɛ	0.395
ˈɛ	ˈæ	0.182
ˈɛ	ˈɔ	0.138
ˈɛ	ˈɪ	0.138
ˈɛ	ˈeɪ̯	0.079
ˈɛi̯	ˈoʊ̯	0.371
ˈɛi̯	ˈʌ	0.182
ˈɛː	ˈi	0.382
ˈɛː	ˈɛ	0.192
ˈɛː	ˈeɪ̯	0.191
ˈɛː	ˈoʊ̯	0.124
ˈɛːi̯	ˈoʊ̯	0.451
ˈɛːi̯	ˈeɪ̯	0.187
ˈɛːi̯	ˈi	0.187
ˈɛːi̯	ˈɑ	0.127
ˈɛːi̯_r	ˈi	0.49
ˈɪ	ˈɪ	0.528
ˈɪ	ˈaɪ̯	0.147
ˈɪ	ˈɔ	0.111
ˈɪ	ˈɝ	0.111
ˈɪ	ˈɑ	0.085
ˈɪː	ˈɪ	0.758
ˈɪː	ˈi	0.181
ˈʏ	ˈaʊ̯	0.267
ˈʏ	ˈɪ	0.176
ˈʏ	ˈʊ	0.176
ˈʏ	ɹ	0.119
ˈʏ	ˈoʊ̯	0.114
ˈʏ_t	ˈʊ	0.49
ˈʏ_ɡ̊	ˈaʊ̯	0.49
ˈʏː	ˈɑ	0.263
ˈʏː	ˈʌ	0.263
ˈʏː	ˈaɪ̯	0.195
ˈʏː	j	0.148
θ	θ	0.834
θ	d	0.089
θ	ð	0.064
