	Afrikaans	Alsatian	American English	Bavarian	Bokmål Norwegian	Danish	Dutch	East Low German	Eastphalian	English	Faroese	Gothic	Hessian	Icelandic	Insular North Frisian	Limburgish	Luxembourgish	Mainland North Frisian	Northern Low Saxon	Nynorsk Norwegian	Palatine German	Pennsylvania German	Proto-Germanic	Ripuarian	Saterland Frisian	Scots	Standard German	Swabian	Swedish	Swiss German	West Flemish	West Frisian	Westphalian	Wymysorys	Yiddish	Zeelandic
bite_VERB_1	bˈəɪ̯t	b̥ˈiːsə	bˈʌɪ̯ʔ	b̥ˈai̯sn̩	bˈiːtə	b̥ˈiːð̞ˠə	bˈɛi̯tən	bˈiːtn̩	bˈiːtn̩	bˈaɪ̯t	b̥ˈʊ̯iːta	bˈiːtan	b̥ˈai̯sə	b̥ˈiːta	bˈɪt	bˈiːtə	bˈæːɪ̯sən	bˈitə	bˈiːdn̩	bˈiːtɑ	b̥ˈaɪ̯sə	bˈaɪ̯sə	bˈiːtɑnɑ̃	bˈiːsə	bˈitə	bˈəi̯t	bˈaɪ̯sn̩	bˈəi̯sa	bˈiːta	b̥ˈiːsːə	bˈitn̩	bˈiːtə	bˈiːtn̩	bˈai̯sa	bˈaɪ̯sn̩	bˈitə
black_ADJ_1	svˈart	ʃwˈɒʁʦ	swˈɔɹʔ	ʃʋˈoɐʦ	sʋˈɑʈ	sˈoɐd̥	zʋˈɑɾt	ʃwˈat	swˈaɐt	swˈɔːt	svˈaɹʈʊɹ	swˈarts	ʃvˈɑʦ	svˈar̥tʏr̥	sˈuːɐxt	zβˈɑʀt	ʃwˈaːʦ	sˈuːʀt	ʃvˈad	sʋˈɑɾt	ʃβˈɑɐʣ̥	ʃʋˈaːʦ	swˈɑrtɑz	ʃʋˈaʦ	svˈɔt	swˈart	ʃvˈaɐʦ	ʃʋˈaʕʦ	svˈaʈː	ʃʋˈɒrʦ	zʋˈɑɾt	svˈat	ʃʋˈat	ʃvˈi̯øʦ	ʃvˈaʀʦ	zʋˈɑɾt
bleed_VERB_1	bɫˈuj	b̥lˈʊːtə	blˈid	b̥lˈuɐ̯d̥n̩	blˈøː	b̥lˈøːð̞ˠə	bɫˈudən	blˈɔʏ̯dn̩	blˈɔʏ̯n̩	blˈiːd	b̥lˈøːa			b̥lˈaːi̯ða	blˈeːt	blˈʊːjə	blˈudən	blˈɛdʲə	blˈɔʏ̯dn̩	blˈøː	b̥lˈuːrə	blˈuːdə	blˈɔːθijɑnɑ̃	blˈoːdə	blˈɛɪ̯də	blˈid	blˈuːtn̩	blˈuə̯da	blˈøːda	b̥lˈyə̯tə		blˈiə̯də	blˈøːdn̩			bɫˈuːjə
blood_NOUN_1	bɫˈud̥	b̥lˈʊːt	blˈʌd	b̥lˈuɐ̯d̥	blˈuː	b̥lˈoˀð̞ˠ	bɫˈud̥	blˈaʊ̯t	blˈaʊ̯d	blˈɐd	b̥lˈɔːu̯w	blˈoːθ	plˈuːd̥	b̥lˈoːu̯ð	blˈœɾ	blˈʊːd̥	blˈʊd̥	blˈœdʲ	blˈaʊ̯d	blˈuː	b̥lˈuːd̥	blˈuːd̥	blˈɔːθɑ̃	blˈoːd̥	blˈoːu̯d	blˈød	blˈuːt	blˈuə̯d	blˈuːd	b̥lˈuə̯t	blˈuə̯d̥	blˈuə̯d̥	blˈoːd	bwˈʏt	bɫˈʊt	
boat_NOUN_1	bˈʊə̯t		bˈoʊ̯ʔ	b̥ˈoːd̥	bˈoːt	b̥ˈɔˀð̞ˠ	bˈoːt	bˈaʊ̯t	bˈeo̯t	bˈəʊ̯t	b̥ˈɔ̯aːʰtʊɹ			b̥ˈaːu̯tʏr̥	bˈɔa̯t	bˈʊːt		bˈyːtʲ	bˈaʊ̯d	bˈoːt	b̥ˈoːd̥	bˈoːt	bˈɑi̯tɑz	bˈoːt	bˈoːt	bˈoːt	bˈoːt		bˈoːt			bˈoə̯t	bˈoːt			bˈʊə̯t
bone_NOUN_1	bˈɪə̯n	b̥ˈəi̯n	bˈoʊ̯n	b̥ˈoɐ̯	bˈæɪ̯n	b̥ˈeˀn	bˈeːn	bˈae̯n	bˈɛɪ̯n	bˈəʊ̯n	b̥ˈai̯n		b̥ˈãː	b̥ˈɛːi̯n	bˈiːn	bˈɛːn	bˈeːn	bˈiːnʲ	bˈaɪ̯n	bˈæɪ̯n	b̥ˈɑ̃ː	bˈeː	bˈɑi̯nɑ̃	bˈeːn	bˈeːn	bˈen	bˈaɪ̯n	bˈɔe̯	bˈeːn	b̥ˈæi̯	bˈɛːn	bˈiə̯n	bˈeːn		bˈɛɪ̯n	bˈɪə̯n
book_NOUN_FEM_1	bˈuk	b̥ˈʊːʃ	bˈʊk	b̥ˈuɐ̯x	bˈuːk	b̥ˈoˀw	bˈuk	bˈaʊ̯k	bˈaʊ̯k	bˈʊk	b̥ˈɔːu̯k		b̥ˈux	b̥ˈoːu̯k	bˈɔk	bˈoːk	bˈuχ	bˈœk	bˈaʊ̯ɡ	bˈuːk	b̥ˈuːx	bˈuːx	bˈɔːks	bˈoːx	bˈoːu̯k	bˈøk	bˈuːx	bˈuə̯x	bˈuːk	b̥ˈuə̯χ	bˈuə̯k	bˈuə̯k	bˈoːk	bˈʏx	bˈʊχ	bˈuk
bread_NOUN_1	brˈʊə̯d̥	b̥ʁˈoːt	bɹˈɛd	b̥rˈoːd̥	bɾˈøː	b̥ʁˈœˀð̞ˠ	bɾˈoːd̥	brˈaʊ̯t	brˈeo̯t	bɹˈed	b̥ɹˈɛːi̯	brˈɔθ	pʀˈoːd̥	b̥rˈœːy̯ð	brˈɔa̯ɾ	bʀˈud̥	bʀˈəʊ̯d̥	bʀˈyːdʲ	brˈaʊ̯d	bɾˈæʉ̯	b̥rˈoːd̥	bɾˈoːd̥	brˈɑu̯ðɑ̃	bʀˈuːd̥	brˈoːd	brˈed	bʁˈoːt	bʁˈoːd	brˈøːd	b̥rˈoːt	bɾˈoːd̥	brˈɪə̯	brˈaʊ̯d	brˈut	bʀˈɔɪ̯t	bɾˈʊə̯d̥
breast_NOUN_1	bˈɔːrs	b̥ʁˈuʃt	bɹˈɛst	b̥rˈuʃd̥	bɾˈʏst	b̥ʁˈœsd̥	bˈɔɾst	bˈɔst	bˈɔst	bɹˈest	b̥ɹˈœst	brˈusts	pʀˈust	b̥rjˈoːu̯st	brˈɛst	bˈʊːʀs	bʀˈoʃt	bˈʊʀst	bˈɔs	bɾˈʏst	b̥rˈɔʃd̥	bɾˈʊʃt	brˈusts~brˈeu̯stɑ̃	bʀˈos	brˈʊst	brˈist	bʁˈʊst	bʁˈuʃd	brˈœst	b̥rˈuʃt	bˈɔɾst	bˈoə̯st	bˈuːə̯st	brˈust	bʀˈʊst	bˈɔst
brew_VERB_1	brˈœu̯		bɹˈu		bɾˈʏɡːə	b̥ʁˈœɡ̊ə	bɾˈɑu̯ən	brˈuːɡn̩	brˈuːən	bɹˈuː	b̥ɹˈɪʤ̊ːa		pʀˈau̯ə	b̥rˈʏɡ̊ːa	brˈuː	bʀˈɔu̯ə	bʀˈɑʊ̯ən	bʀˈɔu̯ə	brˈuːən	bɾˈʏjːɑ		bɾˈaʊ̯ə	brˈewːɑnɑ̃	bʀˈaʊ̯ə	brjˈoːu̯ə	brˈuː	bʁˈaʊ̯ən		brˈʏɡːa		bɾˈuʋn̩	brˈɔu̯ə	brˈuːən			
bridge_NOUN_1	brˈœχ	b̥ʁˈuk	bɹˈɪʤ	b̥rˈuɡ̊n̩	bɾˈʏɡːə	b̥ʁˈœɡ̊ə	bɾˈʏχ	brˈʏç	brˈʏɡə	bɹˈɪʤ	b̥ɹˈɪʤ̊ːa		pʀˈik	b̥rˈɪɟ̊ːa	brˈœç	bʀˈœk	bʀˈek	bʀˈʊ	brˈʏç	bɾˈʏɡːe	b̥rˈɪɡ̊	bɾˈɪk	brˈuɣjɔ̃ː	bʀˈœk	brˈɛːx	brˈɪɡ	bʁˈʏkə	bʁˈuɡ	brˈʏɡːa	b̥rˈuɡ̊ː	bɾˈœɦə	brˈɛːɣə	brˈʏɡə	brˈɘ̟k	bʀˈɪk	bɾˈʏxə
brother_NOUN_1	brˈur	b̥ʁˈʊːd̥əʁ	bɹˈʌðɚ	b̥rˈuɐ̯d̥a	bɾˈuːɾ	b̥ʁˈoɐ	bɾˈudəɾ~bɾˈuɾ	brˈaʊ̯ɾæ	brˈaʊ̯ɐ	bɹˈɐðə	b̥ɹˈɔːu̯wɪɹ	brˈoːθar	pʀˈuːd̥æ̆	b̥rˈoːu̯ðɪr̥	brˈœɾɐ	bʀˈøːʀ	bʀˈʊdɐ	bʀˈɔu̯dəʀ	brˈaʊ̯dɐ	bɾˈuːɾ~bɾˈuːdeɾ	b̥rˈuːrɐ	bɾˈuːdɑ	brˈɔːθɛːr	bʀˈoːdɐ	brˈuːr	brˈɪðər	bʁˈuːdɐ	bʁˈuə̯dʌ	brˈuːr	b̥rˈyə̯d̥ər	bɾˈuə̯ɾ	brˈuə̯r	brˈoːɐ	brˈʏdɛr	bʀˈʊdəʀ	
calf_NOUN_1	kˈaɫv̥	kʰˈɒlb̥	kʰˈæf	kʰˈajβə	kʰˈɑlʋ	kʰˈɛlˀʋ	kˈɑɫv̥	kʰˈalf	kˈalf	kʰˈɑːf	kʰˈɔlvʊɹ	kˈalboː	kʰˈalb̥	kʰˈɑu̯lvʏr̥	kʰˈɔa̯ləf	kˈaːv̥	kʰˈɑləv̥	kˈuːləv̥	kʰˈaːf	kʰˈɑlʋ	kʰˈɑlb̥	kˈalb̥	kˈɑlβɑz	kˈalv̥	kˈoːləx	kʰˈɑːf	kʰˈalb̥	kʰˈalb	kʰˈalv	χˈɒlb̥	kˈɔwv̥	kˈɪə̯l	kˈalʋ	kˈɔwb̥	kˈaɫb	kˈɑɫəv̥
can_VERB_1	kˈan	kʰˈenə	kʰˈæn	kʰˈena	kʰˈʉnːə	kʰˈunə	kˈʏnən	kʰˈœːn̩	kˈœn̩	kʰˈæn	kʰˈʊnːa	kˈunːan	kʰˈenə	kʰˈʏnːa	kʰˈɛn	kˈɪnə	kʰˈənən	kˈɔːnə	kʰˈœːn̩	kʰˈʉnːɑ	kʰˈɛnə	kˈɛnə	kˈunːɑnɑ̃	kˈœnə	kˈɔnə	kʰˈan	kʰˈœnən		kʰˈɵnːa	χˈønːə		kˈɪnə	kˈyə̯n̩	kˈɘ̟na	kˈɛnən	kˈʏnə
cat_NOUN_1	kˈat	kʰˈɒʦ	kʰˈæʔ	kʰˈɑʦ	kʰˈɑtː	kʰˈæd̥	kˈɑt	kʰˈat	kˈatə	kʰˈæt	kʰˈœʰtʊɹ		kʰˈaʦ	kʰˈœʰtʏr̥	kʰˈat	kˈɑt	kʰˈaːʦ	kˈɒt	kʰˈat	kʰˈɑtː	kʰˈɑʣ̥	kˈaʦ	kˈɑtːuz	kˈaʦ	kˈat	kʰˈat	kʰˈaʦə	kʰˈaʣ	kʰˈatː	χˈɒʦ	kˈɑtə	kˈat	kˈat	kˈɔʦ	kˈaʦ	kˈɑtə
cheese_NOUN_1	kˈɑːs	kʰˈæːz̥	ʧˈiz	kʰˈaːs			kˈaːz̥	kʰˈɛɪ̯s	kˈɛɪ̯zə	ʧˈiːz			kʰˈeːs			kˈiz̥	kʰˈɜɪ̯z̥	sˈɛi̯s	kʰˈɛɪ̯s		kʰˈeːs	kˈɛːs	kˈɑːsiː	kˈiːz̥	sˈiːs	ʧˈiːz	kʰˈɛːzə	kʰˈɛːs		χˈæːs	kˈɒːz̥	ʦˈiːs	kˈaɪ̯zə	kˈɘ̟s	kˈɛz	kˈɛːz̥
chicken_NOUN_1			ʧˈɪkɪn		çˈʏlːɪŋ	kʰˈyleŋ	kˈœy̯kən	kʰˈyːkn̩	kˈyːkn̩	ʧˈɪkɪn	ʧʰˈʏʰklɪŋɡ̊ʊɹ			cʰˈuʰkliŋɡ̊ʏr̥		kˈyːkə			kʰˈyːɡn̩	çˈʉklɪŋ			kˈukːiliːŋɡaz~kˈiu̯kiːnɑ̃		sjˈukən	ʧˈɪkən	kʰˈyːkn̩		ɕˈʏkːlɪŋ	χˈyːχə	kˈiə̯kn̩		kˈyːkn̩			kˈiːkə
child_NOUN_1	kˈənd̥	kʰˈind̥	ʧˈaɪ̯ɫd	kʰˈind̥			kˈɪnd̥	kʰˈɪnd	kˈɪnd	ʧˈaɪ̯ɫd			kʰˈind̥			kˈeːnd̥	kʰˈɑnd̥		kʰˈɪnd		kʰˈɪnd̥	kˈɪnd̥	kˈelθɑz~kˈinθɑ̃	kˈeŋɡ̊			kʰˈɪnd̥			χˈind̥	kˈɪnd̥		kˈɪnd	kˈɘ̟nd̥	kˈɪnd	kˈɪnd̥
child_NOUN_NEU_1					bˈɑːɳ	b̥ˈɑˀn					b̥ˈat͡n̥	bˈarn		b̥ˈart͡n̥				bjˈaʀn		bˈɑːɾn			bˈɑrnɑ̃		bˈɛɪ̯dən	bˈeːrn			bˈɑːɳ			bˈɛːn				
church_NOUN_FEM_1	kˈærk	kʰˈiːʁiʃ	ʧˈɝʧ	kʰˈiɐç	çˈɪɾkə	kʰˈiɐɡ̊ə	kˈɛɾk	kʰˈiːæç	kˈɛːɐkə	ʧˈɜːʧ	ʧʰˈɪɹʧa		kʰˈæɐʃ	cʰˈɪr̥ca	sˈɛːɐxk	kˈɛːʀək	kʰˈiːɐɕ	ʃˈœʀk	kʰˈaːɡ	çˈʏɾçɑ	kʰˈɛɐʃ	kˈɛːɾɪç	kˈirikɑː	kˈiːɐɕ	sˈɛːrkə	kˈɪrk	kʰˈɪɐçə	kʰˈʌç	ɕˈʏrka	χˈirχə	kˈæɾkə	ʦjˈɛrkə	kˈɪɛ̯k	kˈiəç	kˈɪʀχ	kˈæɾkə
cold_ADJ_1	kˈœu̯d̥	kʰˈɒlt	kʰˈoʊ̯ɫd	kʰˈojd̥	kʰˈɑlː	kʰˈʌlˀ	kˈɑu̯d̥	kʰˈaʊ̯lt	kˈɔld	kʰˈəʊ̯ɫd	kʰˈald̥ʊɹ	kˈalds	kʰˈaːl	kʰˈald̥ʏr̥	kʰˈuːl	kˈaːjd̥	kʰˈaːl	kˈœlʲ	kʰˈaʊ̯lt	kʰˈɑlː	kʰˈɑld̥	kˈald̥	kˈɑldɑz	kˈald̥	kˈoːld	kʰˈɑːld	kʰˈalt	kʰˈald	kʰˈalː	χˈɒlt	kˈud̥	kˈɔːd̥	kˈɔlt	kˈɑwt	kˈaɫt	kˈɑu̯d̥
come_VERB_1	kˈɔm	kʰˈumə	kʰˈʌm	kʰˈuma~kʰˈema	kʰˈɔmːə	kʰˈʌmə	kˈoːmən	kʰˈɒːm	kˈoːmn̩	kʰˈɐm	kʰˈoːma	kʷˈiman	kʰˈomə	kʰˈɔːma	kʰˈʊm	kˈɔːmə	kʰˈomən	kˈaːmə	kʰˈoːm	kʰˈoːmɑ	kʰˈɔmə	kˈʊmə	kʷˈemɑnɑ̃	kˈumə	kˈuːmə	kʰˈʌm	kʰˈɔmən	kʰˈɔma	kʰˈɔmːa	χˈoː	kˈoːmn̩	kˈɔmə	kˈuə̯mn̩	kˈuma	kˈʊmən	kˈɔmə
