Limburgish	English	probability
ˈiː	ˈiː	0.085
ˈoː	ˈɐ	0.451
ˈoː	ˈʊ	0.22
ˈoː	ˈaʊ̯	0.216
ˈu	ˈe	0.514
ˈu	ˈaɪ̯	0.136
ˈu	ˈiː	0.136
ˈu	ˈeɪ̯	0.13
ˈuː	ˈaʊ̯	0.777
ˈuː	ˈɪ	0.122
ˈuː	ˈaɪ̯	0.091
ˈv	f	1.0
ˈyː	ˈaɪ̯	0.274
ˈyː	ˈɪ	0.274
ˈyː	ˈe	0.117
ˈæ	ˈaɪ̯	0.181
ˈæ	ˈɔː	0.181
ˈæ	ˈe	0.11
ˈæ	ˈæ	0.11
ˈæː	ˈɑː	0.45
ˈæː	ˈæ	0.297
ˈæː	ˈɔː	0.181
ˈøː	ˈiː	0.474
ˈøː	ˈɐ	0.156
ˈøː	ˈəʊ̯	0.156
ˈøː	ˈɪ	0.144
ˈœ	ˈɪ	0.594
ˈœ	ˈæ	0.192
ˈœ	ˈe	0.071
ˈœi̯	j	0.28
ˈœi̯	ˈaʊ̯	0.28
ˈœi̯	ˈiː	0.28
ˈœi̯	ˈaɪ̯	0.104
ˈœː	ˈɔː	0.371
ˈœː	ˈɜː	0.181
ˈɑ	ˈɑː	0.295
ˈɑ	ˈaɪ̯	0.223
ˈɑ	ˈe	0.099
ˈɑ	ˈæ	0.097
ˈɑ	ˈɒ	0.087
ˈɑː	ˈæ	0.386
ˈɑː	ˈɔː	0.189
ˈɑː	ˈɐ	0.127
ˈɑː	ˈeɪ̯	0.122
ˈɑː	ˈuː	0.086
ˈɒː	ˈiː	0.364
ˈɒː	ˈɛ	0.173
ˈɒː	ˈuː	0.114
ˈɒː	ˈɪ	0.087
ˈɒː	ˈeɪ̯	0.083
ˈɔ	ˈɒ	0.299
ˈɔ	ˈʊ	0.254
ˈɔ	ˈuː	0.168
ˈɔ	ˈɔː	0.117
ˈɔ	ˈɐ	0.055
ˈɔu̯	ˈaɪ̯	1.0
ˈɔː	ˈiː	0.523
ˈɔː	ˈəʊ̯	0.293
ˈɔː	ˈʊ	0.169
ˈɛ	ˈɪ	0.514
ˈɛ	ˈaɪ̯	0.186
ˈɛ	ˈeɪ̯	0.125
ˈɛ	ˈiː	0.088
ˈɛ	ɪ	0.04
ˈɛi̯	ˈiː	0.239
ˈɛː	ˈəʊ̯	0.516
ˈɛː	ˈɪ	0.153
ˈɛː	ˈe	0.086
ˈɛː	ˈɐ	0.084
ˈɛː	ˈɒ	0.066
ˈɛːi̯	ˈiː	0.5
ˈɛːi̯	ˈəʊ̯	0.5
ˈɪ	ˈɪ	0.488
ˈɪ	ˈe	0.28
ˈɪ	ˈaɪ̯	0.171
ˈɪː	ˈɪ	0.771
ˈɪː	ˈe	0.105
ˈɪː	ˈaɪ̯	0.098
ˈʊ	ˈɐ	1.0
ˈʊː	ˈɐ	0.263
ˈʊː	ˈɔː	0.219
ˈʊː	ˈaʊ̯	0.123
ˈʊː	ˈʊ	0.107
ˈʊː	ˈɜː	0.071
ˈʏ	ˈɪ	1.0
ˈʏː	ˈɪ	0.253
ˈʏː	ˈe	0.22
ˈʏː	ˈɐ	0.22
β	w	0.935
β	-	0.061
