Icelandic	Yiddish	probability
ˈɛːi̯	ˈɔ	0.219
ˈɛːi̯	ˈɛ	0.15
ˈɛːi̯	ˈɔɪ̯	0.053
ˈɪ	ˈɪ	0.782
ˈɪ	ˈɔ	0.209
ˈɪː	ˈɪ	0.776
ˈɪː	ˈɛ	0.182
ˈʏ	ˈɔɪ̯	0.286
ˈʏ	ˈʊ	0.27
ˈʏ	ˈɔ	0.217
ˈʏ	ˈɪ	0.143
ˈʏ	ˈɛ	0.065
ˈʏː	ˈɔ	0.463
ˈʏː	ˈaɪ̯	0.232
ˈʏː	ˈɛ	0.15
ˈʏː	ˈɪ	0.103
θ	d	0.859
θ	t	0.104
θ	ʁ	0.05
