Danish	Proto-Germanic	probability
ˈe	ˈɑ	0.204
ˈe	ˈe	0.089
ˈe	j	0.087
ˈeˀ	ˈɑi̯	0.603
ˈeˀ	r	0.12
ˈeˀ	ˈe_w	0.099
ˈeˀ	ˈɑ	0.066
ˈeˀ	ˈi	0.054
ˈeː	ˈɑ	0.629
ˈeː	ˈe	0.361
ˈi	ˈɔː	0.461
ˈi	ˈɑi̯	0.261
ˈi	ˈiː	0.084
ˈiˀ	ˈiː	0.354
ˈiˀ	ˈe	0.237
ˈiˀ	ˈi	0.237
ˈiˀ	ˈi_n	0.141
ˈiː	ˈiː	0.461
ˈiː	ˈɑ	0.147
ˈiː	ˈe	0.138
ˈiː	ˈi	0.138
ˈo	ˈu	0.718
ˈo	ˈɔː	0.182
ˈo	w	0.08
ˈoˀ	ˈɔː	0.611
ˈoˀ	ˈuː_z	0.205
ˈoˀ	ˈɑi̯	0.102
ˈoˀ	r	0.078
ˈoː	ˈɑ	0.266
ˈoː	ˈɔː	0.202
ˈoː	ˈu	0.181
ˈoː	ˈe	0.131
ˈoː	ˈɑu̯	0.097
ˈu	ˈu	0.647
ˈu	w_ˈu	0.252
ˈu	ˈuː	0.092
ˈuˀ	ˈuː	0.643
ˈuˀ	ˈe	0.158
ˈuˀ	ˈeu̯	0.105
ˈuˀ	ˈu	0.08
ˈuː	wː	0.374
ˈuː	ˈeu̯	0.184
ˈy	ˈu	0.517
ˈy	ˈiu̯	0.341
ˈy	ˈe	0.073
ˈyˀ	ˈeu̯	0.44
ˈyˀ	ˈeu̯_x	0.241
ˈyˀ	ˈiu̯	0.164
ˈyˀ	ˈe	0.079
ˈyː	ˈeu̯	1.0
ˈæ	ˈe	1.0
ˈæˀ	ˈɑ	0.059
ˈø	ˈu	0.365
ˈø	ˈi	0.277
ˈøː	ˈɑu̯	1.0
ˈœ	ˈu	0.519
ˈœ	w	0.122
ˈœ	ˈi	0.09
ˈœ	ˈɑu̯	0.09
ˈœ	ˈɔː	0.09
ˈœ	ˈeu̯	0.07
ˈœˀ	ˈɑu̯	0.589
ˈœˀ	ˈɔː	0.195
ˈœˀ	ˈu	0.129
ˈœˀ	r	0.07
ˈœː	ˈɑ	0.574
ˈœː	ˈɔː	0.283
ˈɑ	ˈɑ	0.296
ˈɑ	ˈɑ_ŋ	0.252
ˈɑ	ˈi	0.191
ˈɑ	-	0.144
ˈɑ	ˈe	0.072
ˈɑˀ	ˈɑ_r	0.683
ˈɑˀ	ˈe	0.315
ˈɑː	ˈɑ	1.0
ˈɒ	ˈu	1.0
ˈɒˀ	ˈɑ	0.212
ˈɒˀ	ˈɛː	0.212
ˈɒː	ˈe	0.333
ˈɒː	ˈu	0.333
ˈɒː	ˈɛː	0.333
ˈɔ	ˈu	0.85
ˈɔ	ˈuː	0.077
ˈɔˀ	ˈɑ	0.404
ˈɔˀ	ˈɛː	0.299
ˈɔˀ	ˈɑi̯	0.158
ˈɔˀ	ˈu	0.112
ˈɔː	ˈɛː	0.325
ˈɔː	ˈɑ	0.16
ˈɛ	ˈɑ	0.564
ˈɛ	ˈe	0.098
ˈɛ	ˈi	0.088
ˈɛ	ˈĩː	0.086
ˈɛ	ˈu	0.086
ˈɛ	ˈɑi̯	0.052
ˈɛˀ	ˈe	0.222
ˈɛˀ	ˈiː	0.222
ˈɛˀ	ˈɑ	0.222
ˈɛˀ	ˈeː	0.136
ˈɛˀ	ˈɑi̯	0.136
ˈɛː	ˈɑ	0.667
ˈɛː	ˈe	0.333
ˈʌ	ˈu	0.349
ˈʌ	ˈɑ	0.287
ˈʌ	ˈɑi̯	0.113
ˈʌ	ˈɑu̯	0.113
ˈʌ	ˈɔː	0.113
ˈʌˀ	ˈɑu̯	1.0
