Danish	West Frisian	probability
ˈe	ˈa	0.065
ˈe	ˈiː	0.063
ˈeˀ	ˈiə̯	0.317
ˈeˀ	ˈɪ	0.204
ˈeˀ	ˈiː	0.115
ˈeˀ	-	0.091
ˈeˀ	ˈɛi̯	0.087
ˈeˀ	ˈi	0.085
ˈeˀ	ˈeː	0.067
ˈeː	ˈaː	0.436
ˈeː	ˈeː	0.109
ˈi	ˈɛ	0.33
ˈi	ˈi	0.19
ˈi	j	0.055
ˈiˀ	ˈi	0.59
ˈiˀ	ˈiː	0.156
ˈiˀ	ˈɪ	0.107
ˈiˀ	ˈɛ	0.076
ˈiː	ˈɪ	0.315
ˈiː	ˈiː	0.275
ˈiː	ˈɔu̯	0.239
ˈiː	j	0.104
ˈo	ˈuə̯	0.517
ˈo	ʋ	0.185
ˈo	ˈa	0.185
ˈo_ɐˀ	ˈoə̯	1.0
ˈoˀ	ˈuə̯	0.663
ˈoˀ	ˈaː	0.186
ˈoˀ	ˈoː	0.128
ˈoː	ˈuə̯	0.517
ˈoː	ˈa	0.297
ˈoː	ˈaː	0.115
ˈu	ˈɔ	0.308
ˈu	ˈoː	0.163
ˈu	ˈɔu̯	0.163
ˈu	ˈɪ	0.113
ˈu	ˈuː	0.108
ˈu	ˈu	0.077
ˈuˀ	ˈuː	0.596
ˈuˀ	ˈiə̯	0.186
ˈuˀ	ˈu	0.107
ˈuˀ	ˈyː	0.107
ˈuː	ˈuː	1.0
ˈy	ˈyː	0.392
ˈy	ˈɪ	0.392
ˈy	ˈɔ	0.13
ˈyˀ	j	0.678
ˈyˀ	ˈɔː	0.182
ˈyˀ	ˈiə̯	0.12
ˈyː	ˈiə̯	0.644
ˈyː	ˈɪə̯	0.244
ˈæ	ˈɛ	1.0
ˈæˀ	ˈɛi̯	0.251
ˈø	ˈɪ	0.574
ˈø	ˈɔ	0.287
ˈøː	ˈɪə̯	0.822
ˈøː	ˈɛ	0.115
ˈœ	ˈoə̯	0.276
ˈœ	ˈɪ	0.193
ˈœ	ˈɛː	0.155
ˈœ	ˈɵ	0.111
ˈœ	ˈɔ	0.107
ˈœ	ˈø	0.056
ˈœˀ	ˈɪə̯	0.651
ˈœˀ	ˈiə̯	0.22
ˈœˀ	-	0.079
ˈœː	ˈɪ	0.501
ˈɑ	ˈa	0.339
ˈɑ	-	0.213
ˈɑ	ˈaː	0.122
ˈɑ	ˈɪ	0.122
ˈɑ	ˈi	0.093
ˈɑ	ˈøə̯	0.09
ˈɑˀ	ˈɛi̯	0.297
ˈɑˀ	ˈɪə̯	0.297
ˈɑˀ	ˈɛː	0.185
ˈɑˀ	ˈaː	0.115
ˈɑː	ˈaː	0.66
ˈɑː	ˈa	0.165
ˈɒ	ˈuː	0.501
ˈɒˀ	ˈiə̯	0.501
ˈɒː	ˈoə̯	0.574
ˈɒː	ˈiə̯	0.287
ˈɔ	ˈuː	0.574
ˈɔ	ˈu	0.165
ˈɔ	ˈɔ	0.165
ˈɔˀ	ˈaː	0.272
ˈɔˀ	ˈoə̯	0.237
ˈɔˀ	ˈuə̯	0.179
ˈɔˀ	ˈø	0.179
ˈɔˀ	ˈiə̯	0.092
ˈɔː	ˈoə̯	0.501
ˈɛ	ˈa	0.275
ˈɛ	ˈɪ	0.182
ˈɛ	-	0.171
ˈɛ	ˈiː	0.077
ˈɛ	ˈɔ	0.077
ˈɛ	ˈɪə̯	0.077
ˈɛ	ˈɛi̯	0.066
ˈɛ	ˈɛː	0.062
ˈɛˀ	ˈaː	0.265
ˈɛˀ	ˈiə̯	0.265
ˈɛˀ	ˈɛ	0.115
ˈɛˀ	ˈa	0.109
ˈɛˀ	ˈɪ	0.109
ˈɛː	ˈi	0.392
ˈɛː	ˈoə̯	0.392
ˈɛː	ˈa	0.13
ˈʌ	ˈɔː	0.213
ˈʌ	ˈɪə̯	0.213
ˈʌ	ˈy	0.186
ˈʌ	ˈoː	0.093
ˈʌ	ˈyː	0.093
ˈʌ	ˈeː	0.09
ˈʌ	ˈɔ	0.07
ˈʌˀ	ˈeː	0.379
ˈʌˀ	ˈɪə̯	0.19
