Icelandic	German	probability
ˈaː	ˈeː	0.063
ˈaːi̯	ˈa	0.25
ˈaːi̯	ˈyː	0.25
ˈaːi̯	ˈɛ	0.19
ˈaːu̯	ˈoː	0.871
ˈaːu̯	ˈaː	0.052
ˈeːi̯	ˈɔɪ̯	0.574
ˈeːi̯	ˈaɪ̯	0.284
ˈi	ˈɪ	0.688
ˈi	ˈyː	0.131
ˈi	ˈɔʏ̯	0.131
ˈiː	ˈaɪ̯	0.591
ˈiː	ˈɔʏ̯	0.22
ˈiː	ˈuː	0.06
ˈiː	ˈaʊ̯	0.055
ˈiː	ˈiː	0.055
ˈou̯	ˈøː	0.392
ˈou̯	ˈœ	0.392
ˈou̯	ˈɔ	0.126
ˈoːu̯	ˈuː	0.531
ˈoːu̯	ˈiː	0.237
ˈoːu̯	ˈʊ	0.19
ˈu	ˈʊ	0.381
ˈu	j	0.251
ˈu	-	0.143
ˈu	ˈɔ	0.143
ˈuː	ˈaʊ̯	0.649
ˈuː	-	0.21
ˈuː	ˈuː	0.116
ˈœ	ˈaː	0.422
ˈœ	ˈɛː	0.242
ˈœ	ˈa	0.149
ˈœ	ˈɛ	0.097
ˈœy̯	ˈøː	0.494
ˈœː	ˈaɪ̯	0.425
ˈœː	ˈaʊ̯	0.425
ˈœː	ˈeː	0.078
ˈœːy̯	ˈaʊ̯	0.511
ˈœːy̯	ˈoː	0.466
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈaː	0.53
ˈɑːu̯	ˈeː	0.181
ˈɑːu̯	ˈoː	0.147
ˈɑːu̯	ˈɛː	0.079
ˈɔ	ˈɔ	0.497
ˈɔ	ˈʊ	0.267
ˈɔ	ˈa	0.12
ˈɔ	ˈoː	0.088
ˈɔu̯	ˈa	0.28
ˈɔu̯	ˈuː	0.28
ˈɔu̯	ˈɔ	0.173
ˈɔu̯	ˈɪ	0.173
ˈɔː	ˈoː	0.871
ˈɔː	ˈaː	0.052
ˈɛ	ˈɛ	0.41
ˈɛ	ˈaɪ̯	0.182
ˈɛ	ˈɪ	0.155
ˈɛ	ˈeː	0.135
ˈɛ	ˈa	0.102
ˈɛi̯	ˈaɪ̯	0.494
ˈɛː	ˈiː	0.375
ˈɛː	ˈeː	0.242
ˈɛː	ˈɛ	0.21
ˈɛː	ˈɪ	0.077
ˈɛː	ˈaː	0.054
ˈɛːi̯	ˈaɪ̯	0.452
ˈɛːi̯	ˈøː	0.163
ˈɛːi̯	ˈaʊ̯	0.111
ˈɛːi̯	ˈaː	0.111
ˈɛːi̯	ˈoː	0.111
ˈɪ	ˈɪ	0.524
ˈɪ	ˈɔ	0.24
ˈɪ	ˈɛ	0.138
ˈɪ	ˈʏ	0.059
ˈɪː	ˈɪ	0.715
ˈɪː	ˈeː	0.28
ˈʏ	ˈʊ	0.267
ˈʏ	ˈʏ	0.233
ˈʏ	ˈaʊ̯	0.153
ˈʏ	ˈœ	0.105
ˈʏ	ˈɔʏ̯	0.105
ˈʏ_t	ˈɔ	1.0
ˈʏː	ˈiː	0.173
ˈʏː	ˈoː	0.173
ˈʏː	ˈɔ	0.173
ˈʏː	ˈɔʏ̯	0.163
ˈʏː	ˈɛ	0.106
θ	d	0.916
θ	tʰ	0.08
